0
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                    Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
//53      10     0       1       1        1            1            0          "Blue Eye Ring"               	      120    125      136                  225          380        20            20             0           0             0               0      1       1       1       1       1       1       1
//54      10     0       1       1        1            1            0          "Silver Heart Ring"           	      125    130      141                  225          380        20            20             0           0             0               0      1       1       1       1       1       1       1
//55      10     0       1       1        1            1            0          "Manticore Ring"              	      130    135      146                  225          380        20            20             0           0             0               0      1       1       1       1       1       1       1
//56      10     0       1       1        1            1            0          "Brilliant Ring"              	      135    140      151                  225          380        20            20             0           0             0               0      1       1       1       1       1       1       1
//57      10     0       1       1        1            1            0          "Apocalypse Ring"             	      140    145      156                  225          380        20            20             0           0             0               0      1       1       1       1       1       1       1
//58      10     0       1       1        1            1            0          "Lightning Ring"             	      145    150      161                  225          380        20            20             0           0             0               0      1       1       1       1       1       1       1
//59      10     0       1       1        1            1            0          "Soul Awakening Ring"         	      115    120      131                  225          380        20            20             0           0             0               0      1       1       1       1       1       1       1
end

7
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                    Level   Defense   MagicDefense   Durability   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   None   DW      DK      FE      MG      DL      SU      RF
0        2      0       2       2        1            1            1          "Bronze Helm"                           16      9         0              34           0          80            20             0           0             0               4      0       1       0       0       1       0       0
1        2      0       2       2        1            1            1          "Dragon Helm"                           57      24        0              68           0          120           30             0           0             0               4      0       1       0       0       0       0       0
2        2      0       2       2        1            1            1          "Pad Helm"                              5       4         0              28           0          20            0              0           0             0               4      1       0       0       0       0       0       0
3        2      0       2       2        1            1            1          "Legendary Helm"                        50      18        0              42           0          30            0              0           0             0               4      1       0       0       0       0       0       0
4        2      0       2       2        1            1            1          "Bone Helm"                             18      9         0              30           0          30            0              0           0             0               4      1       0       0       0       0       0       0
5        2      0       2       2        1            1            1          "Leather Helm"                          6       5         0              30           0          80            0              0           0             0               4      0       1       0       0       1       0       1
6        2      0       2       2        1            1            1          "Scale Helm"                            26      12        0              40           0          110           0              0           0             0               4      0       1       0       0       1       0       1
7        2      0       2       2        1            1            1          "Sphinx Mask"                           32      13        0              36           0          30            0              0           0             0               4      1       0       0       0       0       0       0
8        2      0       2       2        1            1            1          "Brass Helm"                            36      17        0              44           0          100           30             0           0             0               4      0       1       0       0       0       0       1
9        2      0       2       2        1            1            1          "Plate Helm"                            46      20        0              50           0          130           0              0           0             0               4      0       1       0       0       0       0       1
10       2      0       2       2        1            1            1          "Vine Helm"                             6       4         0              22           0          30            60             0           0             0               4      0       0       1       0       0       0       0
11       2      0       2       2        1            1            1          "Silk Helm"                             16      8         0              26           0          30            70             0           0             0               4      0       0       1       0       0       0       0
12       2      0       2       2        1            1            1          "Wind Helm"                             28      12        0              32           0          30            80             0           0             0               4      0       0       1       0       0       0       0
13       2      0       2       2        1            1            1          "Spirit Helm"                           40      16        0              38           0          40            80             0           0             0               4      0       0       1       0       0       0       0
14       2      0       2       2        1            1            0          "Guardian Helm"                         53      23        0              45           0          40            80             0           0             0               4      0       0       1       0       0       0       0
16       2      0       2       2        1            1            0          "Black Dragon Helm"                     82      30        0              74           0          170           60             0           0             0               4      0       1       0       0       0       0       0
17       2      0       2       2        1            1            0          "Dark Phoenix Helm"                     92      43        0              80           0          205           62             0           0             0               4      0       2       0       0       0       0       0
18       2      0       2       2        1            1            0          "Grand Soul Helm"                       81      27        0              67           0          59            20             0           0             0               4      2       0       0       0       0       0       0
19       2      0       2       2        1            1            0          "Divine Helm"                           85      37        0              74           0          50            110            0           0             0               4      0       0       2       0       0       0       0
21       2      0       2       2        1            1            0          "Great Dragon Helm"                     104     53        0              86           0          200           58             0           0             0               4      0       2       0       0       0       0       0
22       2      0       2       2        1            1            0          "Dark Soul Helm"                        110     36        0              75           0          55            18             0           0             0               4      2       0       0       0       0       0       0
24       2      0       2       2        1            1            0          "Red Spirit Helm"                       93      46        0              80           0          52            115            0           0             0               4      0       0       2       0       0       0       0
25       2      0       2       2        1            1            0          "Light Plate Mask"                      46      20        0              42           0          70            20             0           0             0               4      0       0       0       0       1       0       0
26       2      0       2       2        1            1            0          "Adamantine Mask"                       66      24        0              56           0          77            21             0           0             0               4      0       0       0       0       1       0       0
27       2      0       2       2        1            1            0          "Dark Steel Mask"                       86      26        0              70           0          84            22             0           0             0               4      0       0       0       0       1       0       0
28       2      0       2       2        1            1            0          "Dark Master Mask"                      106     34        0              78           0          80            21             0           0             0               4      0       0       0       0       1       0       0
29       2      0       2       2        1            1            0          "Dragon Knight Helm"                    130     66        0              90           380        170           60             0           0             0               4      0       2       0       0       0       0       0
30       2      0       2       2        1            1            0          "Venom Mist Helm"                       126     48        0              86           380        44            15             0           0             0               4      2       0       0       0       0       0       0
31       2      0       2       2        1            1            0          "Sylphid Ray Helm"                      126     57        0              86           380        38            80             0           0             0               4      0       0       2       0       0       0       0
33       2      0       2       2        1            1            0          "Sunlight Mask"                         130     46        0              82           380        62            16             0           0             0               4      0       0       0       0       1       0       0
34       2      0       2       2        1            1            0          "Ashcrow Helm"                          67      27        0              72           0          160           50             0           0             0               4      0       1       0       0       0       0       0
35       2      0       2       2        1            1            0          "Eclipse Helm"                          67      22        0              54           0          53            12             0           0             0               4      1       0       0       0       0       0       0
36       2      0       2       2        1            1            0          "Iris Helm"                             67      30        0              59           0          50            70             0           0             0               4      0       0       1       0       0       0       0
38       2      0       2       2        1            1            0          "Glorious Mask"                         97      30        0              74           0          80            21             0           0             0               4      0       0       0       0       1       0       0
39       2      0       2       2        1            1            0          "Violent Wind Helm"                     28      13        0              36           0          31            0              0           0             0               4      0       0       0       0       0       1       0
40       2      0       2       2        1            1            0          "Red Wing Helm"                         50      18        0              42           0          26            4              0           0             0               4      0       0       0       0       0       1       0
41       2      0       2       2        1            1            0          "Ancient Helm"                          68      24        0              54           0          52            16             0           0             0               4      0       0       0       0       0       1       0
42       2      0       2       2        1            1            0          "Demonic Helm"                          81      32        0              67           0          60            20             0           0             0               4      0       0       0       0       0       2       0
43       2      0       2       2        1            1            0          "Storm Blitz Helm"                      110     43        0              75           380        56            20             0           0             0               4      0       0       0       0       0       2       0
44       2      0       2       2        1            1            0          "Lilium Helm"                           126     5        0              86           0          84            27             0           0             0               4      0       0       0       0       0       2       0
45       2      0       2       2        1            1            0          "Titan Helm"                            111     63        0              86           380        222           32             0           0             0               4      0       1       0       0       0       0       0
46       2      0       2       2        1            1            0          "Brave Helm"                            111     51        0              86           380        74            162            0           0             0               4      0       1       0       0       0       0       0
49       2      0       2       2        1            1            0          "Seraphim Helm"                         111     50        0              86           380        55            197            0           0             0               4      0       0       1       0       0       0       0
50       2      0       2       2        1            1            0          "Divine Helm"                           104     44        0              86           380        32            29             138         0             0               4      0       0       1       0       0       0       0
51       2      0       2       2        1            1            0          "Royal Mask"                            111     44        0              86           380        105           38             0           0             0               4      0       0       0       0       1       0       0
52       2      0       2       2        1            1            0          "Hades Helm"                            109     41        0              86           380        60            15             181         0             0               4      1       0       0       0       0       0       0
53       2      0       2       2        1            1            0          "Succubus Helm"                         148     260       0              90           360        56            19             157         0             0               4      0       0       0       0       0       3       0
54       2      0       2       2        1            1            0          "Lazy Wind Helm"                        148     260       0              90           360        67            151            0           0             0               4      0       3       0       0       0       0       0
55       2      0       2       2        1            1            0          "Dark Devil Helm"                       148     260       0              90           360        45            13             171         0             0               4      3       0       0       0       0       0       0
56       2      0       2       2        1            1            0          "Sticky Helm"                           148     260       0              90           360        48            180            0           0             0               4      0       0       3       0       0       0       0
58       2      0       2       2        1            1            0          "Ambition Mask"                         148     260       0              90           360        112           22             0           0             0               4      0       0       0       0       3       0       0
59       2      0       2       2        1            1            0          "Sacred Helm"                           54      30       0              52           0          85            0              0           75            0               4      0       0       0       0       0       0       1
60       2      0       2       2        1            1            0          "Storm Hard Helm"                       70      32        0              68           0          100           0              0           90            0               4      0       0       0       0       0       0       1
61       2      0       2       2        1            1            0          "Piercing Helm"                         90      45        0              82           0          115           0              0           100           0               4      0       0       0       0       0       0       1
62       2      0       2       2        0            0            0          "Lucky Scale Helm"                      26      16        0              255          1          0             0              0           0             0               4      0       1       0       0       1       0       1
63       2      0       2       2        0            0            0          "Lucky Silk Helm"                       16      11        0              255          1          0             0              0           0             0               4      0       0       1       0       0       0       0
64       2      0       2       2        0            0            0          "Lucky Sphinx Helm"                     32      17        0              255          1          0             0              0           0             0               4      1       0       0       0       0       0       0
65       2      0       2       2        0            0            0          "Lucky Violent Wind Helm"               28      17        0              255          1          0             0              0           0             0               4      0       0       0       0       0       1       0
66       2      0       2       2        0            0            0          "Lucky Dark Soul Helm"                  66      160        0              255          150        0             0              0           0             0               4      0       0       0       0       1       0       0
67       2      0       2       2        0            0            0          "Lucky Dragon Helm"                     57      160        0              255          150        0             0              0           0             0               4      0       1       0       0       0       0       0
68       2      0       2       2        0            0            0          "Lucky Guardian Helm"                   53      160        0              255          150        0             0              0           0             0               4      0       0       1       0       0       0       0
69       2      0       2       2        0            0            0          "Lucky Legendary Helm"                  50      160        0              255          150        0             0              0           0             0               4      1       0       0       0       0       0       0
70       2      0       2       2        0            0            0          "Lucky Red Wing Helm"                   50      160        0              255          150        0             0              0           0             0               4      0       0       0       0       0       1       0
72       2      0       2       2        0            0            0          "Lucky Storm Hard Helm"                 70      160        0              255          150        0             0              0           0             0               4      0       0       0       0       0       0       1
73       2      0       2       2        1            1            0          "Phoenix Soul Helm"                     128     60        0              88           380        97            0              0           85            0               4      0       0       0       0       0       0       1
77       2      0       2       2        1            1            0          "Bloody Dragon Helm"                    148     260       0              88           380        105           0              0           85            0               4      0       0       0       0       0       0       1
//98       2      0       2       2        1            1            0          "Bloodangel Knight Helm"                143     1500       0              90           360        200           33             0           0             0               4      0       3       0       0       0       0       0
//99       2      0       2       2        1            1            0          "Bloodangel Wizard Helm"                143     1500       0              90           360        45            13             171         0             0               4      3       0       0       0       0       0       0
//100      2      0       2       2        1            1            0          "Bloodangel Elf Helm"                   143     1500       0              90           360        14            31             127         0             0               4      0       0       3       0       0       0       0
//101      2      0       2       2        1            1            0          "Bloodangel Summoner Helm"              143     1500       0              90           360        56            19             157         0             0               4      0       0       0       0       0       3       0
//103      2      0       2       2        1            1            0          "Bloodangel Lord Helm"                  143     1500       0              90           360        112           22             0           0             0               4      0       0       0       0       3       0       0
//104      2      0       2       2        1            1            0          "Bloodangel Fighter Helm"               128     1500       0              88           360        105           0              0           85            0               4      0       0       0       0       0       0       1
//138      2      0       2       2        1            1            0          "Darkangel Knight Helm"                 143     300       0              90           360        200           33             0           0             0               4      0       3       0       0       0       0       0
//139      2      0       2       2        1            1            0          "Darkangel Wizard Helm"                 143     300       0              90           360        45            13             171         0             0               4      3       0       0       0       0       0       0
//140      2      0       2       2        1            1            0          "Darkangel Elf Helm"                    143     300       0              90           360        14            31             127         0             0               4      0       0       3       0       0       0       0
//141      2      0       2       2        1            1            0          "Darkangel Summoner Helm"               143     300       0              90           360        56            19             157         0             0               4      0       0       0       0       0       3       0
//143      2      0       2       2        1            1            0          "Darkangel Lord Helm"                   143     300       0              90           360        112           22             0           0             0               4      0       0       0       0       3       0       0
//144      2      0       2       2        1            1            0          "Darkangel Fighter Helm"                143     300       0              90           360        105           0              0           85            0               4      0       0       0       0       0       0       1
//145      2      0       2       2        1            1            0          "Holyangel Knight Helm"                 145     1650       0              90           370        200           33             0           0             0               4      0       3       0       0       0       0       0
//146      2      0       2       2        1            1            0          "Holyangel Wizard Helm"                 145     1650       0              90           370        45            13             171         0             0               4      3       0       0       0       0       0       0
//147      2      0       2       2        1            1            0          "Holyangel Elf Helm"                    145     1650       0              90           370        14            31             127         0             0               4      0       0       3       0       0       0       0
//148      2      0       2       2        1            1            0          "Holyangel Summoner Helm"               145     1650       0              90           370        56            19             157         0             0               4      0       0       0       0       0       3       0
//150      2      0       2       2        1            1            0          "Holyangel Lord Helm"                   145     1650       0              90           370        112           22             0           0             0               4      0       0       0       0       3       0       0
//151      2      0       2       2        1            1            0          "Holyangel Fighter Helm"                145     1650       0              90           370        105           0              0           85            0               4      0       0       0       0       0       0       1
//152      2      0       2       2        1            1            0          "Awakening Soul Knight Helm"            146     1815       0              90           380        200           33             0           0             0               4      0       3       0       0       0       0       0
//153      2      0       2       2        1            1            0          "Awakening Soul Wizard Helm"            146     1815       0              90           380        45            13             171         0             0               4      3       0       0       0       0       0       0
//154      2      0       2       2        1            1            0          "Awakening Soul Elf Helm"               146     1815       0              90           380        14            31             127         0             0               4      0       0       3       0       0       0       0
//155      2      0       2       2        1            1            0          "Awakening Soul Summoner Helm"          146     1815       0              90           380        56            19             157         0             0               4      0       0       0       0       0       3       0
//157      2      0       2       2        1            1            0          "Awakening Soul Lord Helm"              146     1815       0              90           380        112           22             0           0             0               4      0       0       0       0       3       0       0
//158      2      0       2       2        1            1            0          "Awakening Soul Fighter Helm"           146     1815       0              90           380        105           0              0           85            0               4      0       0       0       0       0       0       1
//159      2      0       2       2        1            1            0          "Blue Eye Knight Helm"                  146     2196       0              90           380        200           33             0           0             0               4      0       3       0       0       0       0       0
//160      2      0       2       2        1            1            0          "Blue Eye Wizard Helm"                  146     2196       0              90           380        45            13             171         0             0               4      3       0       0       0       0       0       0
//161      2      0       2       2        1            1            0          "Blue Eye Elf Helm"                     146     2196       0              90           380        14            31             127         0             0               4      0       0       3       0       0       0       0
//162      2      0       2       2        1            1            0          "Blue Eye Summoner Helm"                146     2196       0              90           380        56            19             157         0             0               4      0       0       0       0       0       3       0
//164      2      0       2       2        1            1            0          "Blue Eye Lord Helm"                    146     2196       0              90           380        112           22             0           0             0               4      0       0       0       0       3       0       0
//165      2      0       2       2        1            1            0          "Blue Eye Fighter Helm"                 146     2196       0              90           380        105           0              0           85            0               4      0       0       0       0       0       0       1
166      2      0       2       2        1            1            0          "Tigris Helm"                           140     88        0              88           380        105           0              0           85            0               4      0       0       0       0       0       0       1
167      2      0       2       2        1            1            0          "Crimson Skull Helm"                    140     98        0              88           380        105           0              0           85            0               4      0       0       0       0       0       0       1
//168      2      0       2       2        1            1            0          "Silver Heart Knight Helm"              148     2416       0              90           380        200           33             0           0             0               4      0       3       0       0       0       0       0
//169      2      0       2       2        1            1            0          "Silver Heart Wizard Helm"              148     2416       0              90           380        45            13             171         0             0               4      3       0       0       0       0       0       0
//170      2      0       2       2        1            1            0          "Silver Heart Elf Helm"                 148     2416       0              90           380        14            31             127         0             0               4      0       0       3       0       0       0       0
//171      2      0       2       2        1            1            0          "Silver Heart Summoner Helm"            148     2416       0              90           380        56            19             157         0             0               4      0       0       0       0       0       3       0
173      2      0       2       2        1            1            0          "Silver Heart Lord Helm"                148     2416       0              90           380        112           22             0           0             0               4      0       0       0       0       3       0       0
//174      2      0       2       2        1            1            0          "Silver Heart Fighter Helm"             148     2416       0              90           380        105           0              0           85            0               4      0       0       0       0       0       0       1
//110      *      0       2       2        1            1            0          "Sealed Bloodangel Helm"                1       0         0              1            0          0             0              0           0             0               4      0       3       0       0       0       0       0
//111      *      0       2       2        1            1            0          "Sealed Bloodangel Helm"                1       0         0              1            0          0             0              0           0             0               4      3       0       0       0       0       0       0
//112      *      0       2       2        1            1            0          "Sealed Bloodangel Helm"                1       0         0              1            0          0             0              0           0             0               4      0       0       3       0       0       0       0
//113      *      0       2       2        1            1            0          "Sealed Bloodangel Helm"                1       0         0              1            0          0             0              0           0             0               4      0       0       0       0       0       3       0
//115      *      0       2       2        1            1            0          "Sealed Bloodangel Helm"                1       0         0              1            0          0             0              0           0             0               4      0       0       0       0       3       0       0
//116      *      0       2       2        1            1            0          "Sealed Bloodangel Helm"                1       0         0              1            0          0             0              0           0             0               4      0       0       0       0       0       0       1
//175      2      0       2       2        1            1            0          "Manticore Knight Helm"                 148     2657       0              90           380        200           33             0           0             0               4      0       3       0       0       0       0       0
//176      2      0       2       2        1            1            0          "Manticore Wizard Helm"                 148     2657       0              90           380        45            13             171         0             0               4      3       0       0       0       0       0       0
//177      2      0       2       2        1            1            0          "Manticore Elf Helm"                    148     2657       0              90           380        14            31             127         0             0               4      0       0       3       0       0       0       0
//178      2      0       2       2        1            1            0          "Manticore Summoner Helm"               148     2657       0              90           380        56            19             157         0             0               4      0       0       0       0       0       3       0
//180      2      0       2       2        1            1            0          "Manticore Lord Helm"                   148     2657       0              90           380        112           22             0           0             0               4      0       0       0       0       3       0       0
//181      2      0       2       2        1            1            0          "Manticore Fighter Helm"                148     2657       0              90           380        105           0              0           85            0               4      0       0       0       0       0       0       1
//182      2      0       2       2        1            1            0          "Robust Helm"                           20      13        0              34           0          80            20             0           0             0               4      1       1       1       1       1       1       1
//183      2      0       2       2        1            1            0          "Gru Hill Helm"                         40      17        0              34           0          80            20             0           0             0               4      1       1       1       1       1       1       1
//184      2      0       2       2        1            1            0          "Princie Helm"                          60      21        0              34           0          80            20             0           0             0               4      1       1       1       1       1       1       1
//185      2      0       2       2        1            1            0          "Hirat Helm"                            80      27        0              34           0          80            20             0           0             0               4      1       1       1       1       1       1       1
//186      2      0       2       2        1            1            0          "Sate Helm"                             100     25        0              34           0          80            20             0           0             0               4      1       1       1       1       1       1       1
//187      2      0       2       2        1            1            0          "Frere Helm"                            120     30        0              34           0          80            20             0           0             0               4      0       0       0       0       1       0       1
//188      2      0       2       2        1            1            0          "Kenaz Hood"                            100     37        0              34           0          80            20             0           0             0               4      0       0       0       0       0       3       0
//189      2      0       2       2        1            1            0          "Slayer Helm"                           100     10        0              34           0          80            20             0           0             0               4      0       0       3       0       0       0       0
//190      2      0       2       2        1            1            0          "Brilliant Knight Helm"                 148     2923       0              90           380        200           33             0           0             0               4      0       3       0       0       0       0       0
//191      2      0       2       2        1            1            0          "Brilliant Wizard Helm"                 148     2923       0              90           380        45            13             171         0             0               4      3       0       0       0       0       0       0
//192      2      0       2       2        1            1            0          "Brilliant Elf Helm"                    148     2923       0              90           380        14            31             127         0             0               4      0       0       3       0       0       0       0
//193      2      0       2       2        1            1            0          "Brilliant Summoner Helm"               148     2923       0              90           380        56            19             157         0             0               4      0       0       0       0       0       3       0
//195      2      0       2       2        1            1            0          "Brilliant Lord Helm"                   148     2923       0              90           380        112           22             0           0             0               4      0       0       0       0       3       0       0
//196      2      0       2       2        1            1            0          "Brilliant Fighter Helm"                148     2923       0              90           380        105           0              0           85            0               4      0       0       0       0       0       0       1
//197      2      0       2       2        1            1            0          "Glimer Helm"                           20      15        0              34           0          80            20             0           0             0               4      3       0       0       0       0       0       0
//198      2      0       2       2        1            1            0          "Light Ray Helm"                        40      20        0              34           0          80            20             0           0             0               4      1       1       1       1       1       1       1
//199      2      0       2       2        1            1            0          "Flash Helm"                            60      25        0              34           0          80            20             0           0             0               4      0       0       0       0       0       0       3
//200      2      0       2       2        1            1            0          "Magic Flare Helm"                      80      30        0              34           0          80            20             0           0             0               4      1       1       1       1       1       1       1
//201      2      0       2       2        1            1            0          "Noble Pixie Helm"                      20      15        0              34           0          80            20             0           0             0               4      1       1       1       1       1       1       1
//202      2      0       2       2        1            1            0          "Bright Helm"                           40      20        0              34           0          80            20             0           0             0               4      0       3       0       0       0       0       0
//203      2      0       2       2        1            1            0          "Darjeeling Helm"                       60      25        0              34           0          80            20             0           0             0               4      0       0       0       0       3       0       0
//204      2      0       2       2        1            1            0          "Finesse Helm"                          80      30        0              34           0          80            20             0           0             0               4      1       1       1       1       1       1       1
//205      2      0       2       2        1            1            0          "Ghast Helm"                            85      35        0              34           0          80            20             0           0             0               4      0       0       1       0       0       1       0
//206      2      0       2       2        1            1            0          "Steel Plate Helmet"                    60      39        0              45           0          53            152            0           0             0               4      1       1       1       1       1       1       1
